text,created_at,retweet_count,favorite_count,is_retweet,id_str
"Enhanced unemployment benefits expired for millions overnight.

We don’t have an effective nationwide testing program or a plan to control the virus.

Our health care workers still don’t have enough PPE.

Enough with the weekend golf trips, Mr. President. Do your job.",2020-08-01 23:59:00,22360,94921,False,1289712264468193280
"Rent is due today.

Donald Trump abdicated his responsibility to lead us out of this COVID-19 crisis—and we now face a potential housing crisis because of it.

Mr. President: Act now to make sure Americans don't have to choose between a roof over their heads or food on the table. https://t.co/b0Uoy5qoFr",2020-08-01 21:55:00,8065,30016,False,1289681058871545856
You have enough on your plate — you shouldn't also have to worry about the president making things even tougher for you. https://t.co/HjwhG8kQMT,2020-08-01 20:45:00,5462,19341,False,1289663442874281985
"If we give Donald Trump four more years in the White House, he will forever alter the character of this nation.

We can’t let that happen.",2020-08-01 18:20:00,33439,227509,False,1289626952530354177
"To the millions of people who get up every single day and make this country run: I see you, and I promise I will never stop fighting for you. You are the backbone of America. https://t.co/009KRZx9Bq",2020-08-01 15:35:00,13034,52159,False,1289585429176446976
"Ordinary people doing extraordinary things. That's the story of America — and it's being written every day by folks like Dr. @Craig_A_Spencer, who fought the Ebola outbreak and now COVID-19. @BarackObama and I called to thank him for his service and discuss the moment we're in. https://t.co/wO14pwaaxa",2020-08-01 12:40:00,6988,26110,False,1289541388686643202
"Folks, we’re just a few hours away from our critical end-of-month fundraising deadline. We need everyone to step up so we can hit our goal and make sure we can go toe-to-toe with President Trump.

If you're able, please chip in today: https://t.co/XAsy8zaW2v",2020-07-31 23:59:00,3480,11873,False,1289349876590039040
"Jill and I are keeping everyone in the path of Hurricane Isaias in our prayers. We must ensure that our fellow Americans, in Puerto Rico and across the East Coast, get the support they need. Please heed the warnings from authorities, take steps to prepare, and stay safe. https://t.co/Jb6AYJ4o0Q",2020-07-31 22:01:00,3033,14153,False,1289320181269921793
"Together, we're going to make sure the future is made in America — by all of America. https://t.co/HX4zat4BVK",2020-07-31 20:46:00,6073,22396,False,1289301306645995521
"Grassroots donations are the backbone of our campaign — and we want to thank you for all your help. So tonight, Senator @ewarren and I are hosting an event that you won’t want to miss.

Chip in to reserve your spot: https://t.co/KUyaCEAUi8 https://t.co/TiQzQ8tba7",2020-07-31 19:08:00,1652,6162,False,1289276644469874689
"We’re facing some of the biggest challenges in our history — and it’s abundantly clear Donald Trump just isn’t up for the job.

We need real leadership — and we need it now.",2020-07-31 17:05:00,15471,91322,False,1289245690539933696
"It’s been over six months since the first confirmed case of COVID-19 in the United States, and President Trump still doesn't have an effective plan to contain its spread. It's an unjustifiable failure of leadership that costs lives every day.",2020-07-31 13:45:00,31177,158967,False,1289195358518738950
.@DrBiden and I wish all our Muslim friends and neighbors a blessed #EidAlAdha. May your sacrifices on this day be accepted and strengthen you during these challenging times. Eid Mubarak!,2020-07-31 02:48:00,10234,74871,False,1289030018983776256
"Human trafficking is an unconscionable attack on the dignity of the most vulnerable among us. Action can’t wait — on this World Day Against Trafficking in Persons, we’ve got to join together and commit to ending trafficking. #EndHumanTrafficking https://t.co/5UJHwaMRQI",2020-07-31 00:56:00,5686,22898,False,1289001833185316865
You won't have to worry about my tweets when I'm president.,2020-07-30 23:30:00,77978,704710,False,1288980193831337984
Bill Barr is the Attorney General of the United States — not the president's private attorney. https://t.co/XVfyErCZu9,2020-07-30 22:40:30,13792,44896,False,1288967733695205376
"55 years ago today, Medicare and Medicaid were signed into law. And ever since, they've extended lives, enhanced liberty, and put the pursuit of happiness within reach for millions.

I'll protect and expand these programs for generations to come. https://t.co/haLz46TAOD",2020-07-30 21:32:00,5375,20933,False,1288950495307071491
"Throughout his life, John Lewis taught us that while the journey toward equality is not easy, we must be unafraid and never cower and never, ever give up.

It's up to all of us to carry on his mission. https://t.co/VUJdegsBuw",2020-07-30 21:02:00,7482,30736,False,1288942945555476480
It’s time Senate Republicans back their effusive praise of John Lewis with action. Pass the John R. Lewis Voting Rights Act.,2020-07-30 19:55:00,24395,127723,False,1288926084306624518
"Even after his passing, John Lewis reminds us that the most powerful symbol of what it means to be an American is what we do with the time we have to make real the promise of our nation.

May his words guide us as we march on toward November. https://t.co/wmxgIqDDAi",2020-07-30 17:35:00,7809,38931,False,1288890852304023552
"The last three months were the worst period for economic growth our nation has experienced in the 70 years since we started measuring it — a drop of nearly 33 percent.

Let's be clear: This is no act of God, it's a failure of presidential leadership. https://t.co/pPZXkHtJcR",2020-07-30 16:33:00,13390,47332,False,1288875249493315584
"I'm the proud husband of a teacher. I've seen firsthand how difficult the job can be in normal times — let alone in the middle of a pandemic. So when I heard Beth's story, I knew @BarackObama and I had to give her a call. https://t.co/xBdeItoMW6",2020-07-30 12:00:01,10879,45134,False,1288806550572687365
"Donald Trump's instinct to constantly add fuel to the fire is the last thing our country needs right now.

We need leadership that will calm the waters and lower the temperature. https://t.co/tNUQUYDO8P",2020-07-30 00:15:00,8147,36366,False,1288629127507898370
We need a president who will bring us together instead of tearing us apart and who will enforce the law faithfully rather than put his own political interests first. https://t.co/SL7dojwyDi,2020-07-29 22:35:00,8879,45124,False,1288603961948340225
"Folks, I'm excited to share that Senator @ewarren and I are hosting a grassroots fundraiser this Friday — and you're invited. We're going to chat about what's at stake this November and even answer a few of your questions.

Chip in any amount to join us: https://t.co/Ak0FXcwfoV https://t.co/j6OGUieI46",2020-07-29 20:35:00,4891,20352,False,1288573762812559362
"Donald Trump has shown that he can’t beat the pandemic or turn the economy around. And he is unsurprisingly stoking the flames of division for political gain.

He is the worst possible person to lead our nation through this moment. https://t.co/CfJzEwU6Cm",2020-07-29 19:57:00,6860,26796,False,1288564199723921408
My heart goes out to Jessica and the countless others across the nation who have lost a loved one due to COVID-19. Behind every number we see in the news is a family and community that will never again be whole — and we can't forget that. https://t.co/S2NrhkXrHI,2020-07-29 18:45:00,4463,15137,False,1288546080507002892
"Congratulations to California Child Care Providers United on a successful election. As president, I'll make it easier for child care workers to unionize — and I’ll provide resources so they earn higher wages while also making care more affordable. #ChildCareIsEssential https://t.co/49zAdq9Mte",2020-07-29 18:18:00,2081,10094,False,1288539285818413057
"We need an effective, coordinated nationwide testing and tracing program. We need more PPE for health care workers. We need a comprehensive plan to get this virus under control.

We need this president to do his job.",2020-07-29 16:17:00,12430,62044,False,1288508836232347648
"I have no illusions about how tough the road ahead is. But I’m optimistic for one reason above all others: I know the history and the heart of this country.

There is nothing we're unable to achieve when we do it together.",2020-07-29 13:33:00,15381,93043,False,1288467563006046208
Listen to the scientists: Wear a mask. https://t.co/9CFioW4wvS,2020-07-29 00:55:00,13744,67548,False,1288276806131302400
Donald Trump voted by mail. You should be able to as well.,2020-07-29 00:05:00,47160,274031,False,1288264223475335170
"Small business ownership is one of our country's cornerstones for wealth building and job creation. But Black and Brown entrepreneurs face far too many barriers to ownership, growth, and success.

I've got a plan to change that: https://t.co/27Y38un2tM https://t.co/MF7OpMS7bA",2020-07-28 22:55:00,1772,6540,False,1288246606983122944
America has never lived up to our founding promise — and we can’t rest until we finally do. My new plan will advance racial equity across the American economy and bring us closer to reaching our highest ideals: https://t.co/27Y38u5rCe https://t.co/pQGZ78PXwC,2020-07-28 21:50:00,3017,12383,False,1288230249340309508
"My housing plan will give a $15,000 tax credit to first-time home-buyers, expand affordable housing, and reverse President Trump’s efforts to gut fair housing enforcement.

We're going to remove the barriers to homeownership that hold back too many Americans of color.",2020-07-28 19:50:00,6281,27567,False,1288200050443771907
"To support more Black and Brown small businesses, my administration will launch a new Small Business Opportunity Initiative. We're going to make sure that those with the best ideas are not denied the venture capital or financing they need because of their race or zip code.",2020-07-28 19:46:00,5349,25642,False,1288199043735142401
"In good times, communities of color still lag. In bad times, they get hit first and the hardest. And in recovery, they take the longest to bounce back.

We have to break the cycle, and I’ve got a plan to do it: https://t.co/27Y38un2tM",2020-07-28 19:39:00,2564,9491,False,1288197282064510976
"This election is not just about voting against Donald Trump. It’s about rising to this moment of crisis, understanding people’s struggle, and building a future worthy of their courage and ambition to overcome.",2020-07-28 19:37:00,15025,80924,False,1288196778836205568
"A change of “tone” over a few days does not change the facts of the last four years.

Donald Trump fails the basic threshold test of being president: the duty to care about the entire country, not just his re-election prospects.",2020-07-28 19:35:00,6875,33966,False,1288196275695792129
"The Senate and this President should pass the bill to restore the Voting Rights Act — renamed yesterday in memory of John Lewis.

If they don’t, it will be one of the first things I do as president.",2020-07-28 19:30:00,10158,49381,False,1288195017522270208
"I'm in Wilmington, Delaware, to unveil the fourth plank of my Build Back Better plan. Tune in as I discuss what my administration will do to advance racial equity in our economy: https://t.co/NTZviQqUX5",2020-07-28 19:20:17,2351,8232,False,1288192572112793600
"In this moment, we have the chance to build an economy where everyone gets a fair return for their work and an equal chance to get ahead. One more vibrant and more powerful because everyone is in on the deal.

Here's how we'll do it: https://t.co/27Y38un2tM https://t.co/d0kM3yyglS",2020-07-28 18:15:00,2389,9275,False,1288176142797611008
"We can't build this nation back better without tackling the systemic racism and disparities that have plagued our country for far too long. That's why today, I'm releasing my new plan to advance racial economic equity across the American economy. https://t.co/MQW8ItM0J8",2020-07-28 16:35:00,5604,21959,False,1288150977116286977
Our students and educators deserve better than four more years of Betsy DeVos. It’s time for a Secretary of Education who is actually a public school educator. https://t.co/rUVThAQ24K,2020-07-28 14:34:00,13972,46601,False,1288120526683029512
"John — march on, dear friend. May God bless you. And may you continue to inspire righteous good trouble down from the Heavens. https://t.co/lqg9SGxYNE",2020-07-28 01:00:00,20123,160369,False,1287915678540808192
"Tonight, Jill and I are thinking about the 150,000 families left emptier by this virus.

To anyone who’s struggling, sick, or wondering how they’ll get through the day: know that I will not abandon you. 

We’ll fight through this crisis together, and emerge stronger than ever.",2020-07-28 00:30:00,19593,104093,False,1287908127476551680
"Arianna’s a supporter of our campaign who’s been organizing food drives for her community during the COVID crisis. My team told me about her work, so @BarackObama and I decided to surprise her with a call. https://t.co/GnwvU6HMld",2020-07-28 00:04:00,8822,38375,False,1287901583758352385
"The development of a new vaccine requires a dedication to science, coordination, transparency, truth, and fairness to all — and we have a President who stands for none of these things. https://t.co/38t303Fknw",2020-07-27 21:50:00,9138,38806,False,1287867861436776449
These policies aren’t just the right thing to do — they’re also the smart thing to do for the future of our country. https://t.co/zoXsJ2PbXG,2020-07-27 21:32:00,5321,22536,False,1287863331626389508
"Women-owned small businesses like Marsh + Mane are the backbone of communities across the nation. We have got to do more to invest in and support them.

Here's what I'll do as president: https://t.co/EUs7NyzOEe https://t.co/bhRSHXQVGs",2020-07-27 19:10:00,2521,9201,False,1287827595963375620
"RT @NARAL: In 99 days, we have the chance to change the course of history by replacing Donald Trump with a compassionate leader who knows t…",2020-07-27 18:50:00,1306,0,True,1287822565709316097
"The hard truth is women — and particularly women of color — have never had a fair shot to get ahead in this country. That's why today, I'm releasing my plan to make sure women can fully participate in our economy and country. https://t.co/vUWUanQAR0",2020-07-27 16:33:00,15594,70621,False,1287788085888065540
"The hard truth is this pandemic didn’t have to be this bad. Ron Klain, former White House Ebola Response Coordinator, breaks down what a Biden administration would have done differently and what we would do now to get this virus under control: https://t.co/cw8mBOfujj",2020-07-27 14:59:00,25716,63239,False,1287764429703188482
"RT @TeamJoe: We have just 100 DAYS until Election Day, and we need all hands on deck for this final stretch. So today, we’re kicking off 10…",2020-07-27 00:49:19,1924,0,True,1287550599320317952
"In 100 days, we’re going to make Donald Trump a one-term president. https://t.co/vTrPRrHhwm",2020-07-26 23:20:00,25301,117723,False,1287528122804514817
"Women have decided the course of history with grit, clarity, and courage. This election is no different.

We have just 100 days to get out the vote, unite the country, and vote Donald Trump out of the White House.

Join us, and let's get to work: https://t.co/gnaFCACYrW https://t.co/9CnwM9wEDM",2020-07-26 20:26:00,9535,31003,False,1287484334178525192
"Thirty years on, we still have work to do to realize the full aspiration of the Americans with Disabilities Act. We need to ensure that every American has the chance to live independently and free from discriminatory systems and practices. #ADA30 https://t.co/BIMyE5Hy3h",2020-07-26 19:45:00,6948,28616,False,1287474016152948736
"Folks, we have just 100 days until Election Day. Now, more than ever, we have to do everything we can to make Donald Trump a one-term president.

Register to vote: https://t.co/Hy8C4mIL2M

Donate: https://t.co/Iimssjnz4A

Volunteer: https://t.co/GCxsKwFY4h

Let’s get to work. https://t.co/aa1BsTsdu9",2020-07-26 17:45:00,8045,25123,False,1287443817214488578
"In 100 days, we have the chance to set our nation on a new path. One where we finally live up to our highest ideals and everyone has a fair shot at success.

Join us: https://t.co/gnaFCAUzju https://t.co/fkmLEpLvJR",2020-07-26 15:30:00,11354,38865,False,1287409844593418240
100 days.,2020-07-26 13:00:01,37311,271128,False,1287372098361409537
"As Hurricane Hanna makes landfall, Jill and I are sending our prayers to the people of South Texas. We must ensure that affected residents get the support they need — and get it quickly. If you are in an impacted region, please heed the advice of local officials and seek shelter.",2020-07-26 00:45:00,13049,68468,False,1287187125759352833
